ballas	102	BALLAS1	VOICE_GNG_BALLAS1|VOICE_GNG_BALLAS2	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	0	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	56	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	0	0
ballas	102	BALLAS1	VOICE_GNG_BALLAS1|VOICE_GNG_BALLAS2	343	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	0	0	0	0
police	284	lapdm1	VOICE_EMG_MCOP1|VOICE_EMG_MCOP6	345	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	28	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	345	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	0	0	0
police	284	lapdm1	VOICE_EMG_MCOP1|VOICE_EMG_MCOP6	74	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	28	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	251	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	0	0	0
police	280	lapd1	VOICE_EMG_LAPD1|VOICE_EMG_LAPD8	343	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	19	0	0	0
ballas	102	BALLAS1	VOICE_GNG_BALLAS1|VOICE_GNG_BALLAS2	258	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	0	0	0	0
police	280	lapd1	VOICE_EMG_LAPD1|VOICE_EMG_LAPD8	199	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	13	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	89	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	0	0	0
police	284	lapdm1	VOICE_EMG_MCOP1|VOICE_EMG_MCOP6	199	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	26	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	344	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	74	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	0	0
police	284	lapdm1	VOICE_EMG_MCOP1|VOICE_EMG_MCOP6	344	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	26	0	0	0
police	284	lapdm1	VOICE_EMG_MCOP1|VOICE_EMG_MCOP6	345	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	26	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	22	641	24	-1	-1	-1	7	24	1641	1148	3	3	0	-30.33	1
police	280	lapd1	VOICE_EMG_LAPD1|VOICE_EMG_LAPD8	344	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	14	0	0	0
police	280	lapd1	VOICE_EMG_LAPD1|VOICE_EMG_LAPD8	345	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	14	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	345	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	0	0
police	280	lapd1	VOICE_EMG_LAPD1|VOICE_EMG_LAPD8	89	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	15	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	0	0	0
police	280	lapd1	VOICE_EMG_LAPD1|VOICE_EMG_LAPD8	343	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	15	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	144	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	65	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	0	0	0
ballas	103	BALLAS2	VOICE_GNG_BALLAS3|VOICE_GNG_BALLAS4	342	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	0	0
